name,s,f,w,tautorsion,shift,hiddentau,notes,h0info,h0ext,h1info,h1target,h2info,h2target,h3info,h3target,label,angle,Dr inf000,dr,XX
h1 h4^2,31,3,17,0,-1,,,,,,,,,,,,,,,XX
h0^2 h5,31,3,16,0,1,,,,h0^3 h5,,,t,h1^3 h5,,,,,,h0^3 h4^2,XX
h0^3 h5,31,4,16,0,0,,,,h0^4 h5,,,,,,,,,,,XX
h0^4 h5,31,5,16,0,-1,,,,h0^5 h5,,,,,,,,,,,XX
n,31,5,17,0,1,,,,,,,,h2 n,,,n,,,,gen
h0^5 h5,31,6,16,0,0,,,,h0^6 h5,,,,,,,,,,,XX
h0^6 h5,31,7,16,0,0,,,,h0^7 h5,,,,,,,,,,,XX
d0 e0,31,8,18,0,-1,,,,h0 d0 e0,,h1 d0 e0,,h0 e0^2,,,d_0 e_0,-120,free,,XX
h0^7 h5,31,8,16,0,1,,,,h0^8 h5,,,,,,,,,,,XX
h0 d0 e0,31,9,18,0,-1,,,,h0^2 d0 e0,,,,h0^2 e0^2,,,,,,,XX
h0^8 h5,31,9,16,0,1,,,,h0^9 h5,,,,,,,,,,,XX
h0^2 d0 e0,31,10,18,0,-1,,,,,,,,,,,,,,,XX
h0^9 h5,31,10,16,0,1,,,,h0^10 h5,,,,,,,,,,,XX
h0^10 h5,31,11,16,0,0,,,,h0^11 h5,,,,,,,,,,,XX
h0^11 h5,31,12,16,0,0,,,,h0^12 h5,,,,,,,,,,,XX
P^2 h1 d0,31,13,17,0,-1,,,,,,P^2 h1^2 d0,,,,,,,,,XX
h0^12 h5,31,13,16,0,1,,,,h0^13 h5,,,,,,,,,,,XX
h0^13 h5,31,14,16,0,0,,,,h0^14 h5,,,,,,,,,,,XX
h0^14 h5,31,15,16,0,0,,,,h0^15 h5,,,,,,,,,,,XX
h0^15 h5,31,16,16,0,0,,,,,,,,,,,,,,,XX
h1 h5,32,2,17,0,0,,,,,,h1^2 h5,,,,h1 h3 h5,,,,,XX
d1,32,4,18,0,0,,,,,,h1 d1,,h2 d1,,h1 e1,d_1,,,,gen
D h1 h3,32,6,17,0,0,,,,,,D h1^2 h3,,,,,\D h_1 h_3,,,,gen
l,32,7,18,0,0,,,,h0 l,,,,h0 m,,,l,,,h0 d0 e0,gen
h0 l,32,8,18,0,0,,,t,h1 d0 e0,,,t,h1 e0^2,,,,,,h0^2 d0 e0,XX
h1 d0 e0,32,9,19,0,0,,,,,,loc,,,,,,,free,,XX
P^2 h1^2 d0,32,14,18,0,0,,,,,,P^2 h1^3 d0,,,,,,,,,XX
P^3 c0,32,15,17,0,0,,,,,,P^3 h1 c0,,,,,auto,,,,gen
h1^2 h5,33,3,18,0,0,,,,,,h1^3 h5,,,,h1^2 h3 h5,,,,,XX
p,33,4,18,0,0,,,t,h1 d1,,,,,,h0 f1,p,,,,gen
h1 d1,33,5,19,0,0,,,,,,h1^2 d1,,,,h1^2 e1,,,,,XX
D h1^2 h3,33,7,18,0,0,,,,,,,,,,,,,,,XX
P c0 e0,33,11,19,1,0,,,,,,loc,,,,,P c_0 e_0,,free,,XX
